skill,course_name,platform,url,description
"Drawing","The Ultimate Drawing Course - Beginner to Advanced","Udemy","https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/","Learn the #1 most important building block of all art, Drawing. This course will teach you in a logical way how to draw."
"Photography","Photography Masterclass: A Complete Guide to Photography","Udemy","https://www.udemy.com/course/photography-masterclass-a-complete-guide-to-photography/","The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers."
"Project Management","Project Management Professional (PMP) Exam Prep Seminar","Udemy","https://www.udemy.com/course/pmp-pmbok6-35-pdus/","PMP Exam Prep Seminar - PMBOK Guide 6. Earn the 35 PDUs required to sit for the PMP exam."
"C#","Complete C# Unity Game Developer 2D","Udemy","https://www.udemy.com/course/unitycourse/","Learn Unity in C# & Code Your First Seven 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap."
"Financial Analysis","The Complete Financial Analyst Course 2023","Udemy","https://www.udemy.com/course/the-complete-financial-analyst-course/","Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint, and more."
"Angular","Angular - The Complete Guide (2023 Edition)","Udemy","https://www.udemy.com/course/the-complete-guide-to-angular-2/","Master Angular 15 (formerly 'Angular 2') and build awesome, reactive web apps with the successor of Angular.js."
"iOS Development","iOS & Swift - The Complete iOS App Development Bootcamp","Udemy","https://www.udemy.com/course/ios-13-app-development-bootcamp/","From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!"
"Android Development","The Complete Android 12 & Kotlin Development Masterclass","Udemy","https://www.udemy.com/course/android-kotlin-developer/","Learn Android App Development from a Senior Developer. Build Real-World Apps."
"UI/UX Design","User Experience (UX) Design: From A-Z","Udemy","https://www.udemy.com/course/ux-design-from-a-z-wireframing-prototyping-in-figma/","Learn how to solve problems and create amazing experiences for users."
"Docker","Docker & Kubernetes: The Practical Guide","Udemy","https://www.udemy.com/course/docker-kubernetes-the-practical-guide/","Learn Docker and Kubernetes from the ground up and build, test and deploy your applications with ease."
"C++","Beginning C++ Programming - From Beginner to Beyond","Udemy","https://www.udemy.com/course/beginning-c-plus-plus-programming/","Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered."
"Go","Go: The Complete Developer's Guide (Golang)","Udemy","https://www.udemy.com/course/go-the-complete-developers-guide/","Master the fundamentals and advanced features of the Go Programming Language (Golang)."
"Unreal Engine","Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games","Udemy","https://www.udemy.com/course/unrealcourse/","Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal."
"Blender","Complete Blender Creator: Learn 3D Modelling for Beginners","Udemy","https://www.udemy.com/course/blendertutorial/","Use Blender to create beautiful 3D models for video games, 3D printing, and more."
"Music Theory","Pianoforall - Incredible New Way To Learn Piano & Keyboard","Udemy","https://www.udemy.com/course/pianoforall-incredible-new-way-to-learn-piano-keyboard/","Learn Piano and Chords in a Fun and Engaging Way."
"Tableau","Tableau 2022 A-Z: Hands-On Tableau Training for Data Science","Udemy","https://www.udemy.com/course/tableau10/","Learn data visualization through Tableau 2022 and create opportunities for you or key decision makers."
"SEO","Complete SEO Training With Top SEO Expert Peter Kent","Udemy","https://www.udemy.com/course/white-hat-seo/","Rank #1 on Google with Technical SEO, 1s Pagespeed, UX SEO, Backlink SEO, and Keyword Research SEO."
"Public Speaking","Complete Public Speaking Masterclass For Every Occasion","Udemy","https://www.udemy.com/course/the-complete-public-speaking-masterclass-for-every-occasion/","Become a Confident and Effective Public Speaker."
"Creative Writing","Writing With Flair: How To Become An Exceptional Writer","Udemy","https://www.udemy.com/course/writing-with-flair-how-to-become-an-exceptional-writer/","Learn the secrets of seasoned writers to make your words shimmer and sing."
"Adobe Photoshop","Ultimate Adobe Photoshop Training: From Beginner to Pro","Udemy","https://www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/","Master Photoshop from the ground up."
"Adobe Premiere Pro","Adobe Premiere Pro CC – Video Editing for Beginners","Udemy","https://www.udemy.com/course/premiere-pro-course/","Learn Video Editing in Adobe Premiere Pro with these easy-to-follow Premiere Pro video editing tutorials."
"Management","Leadership: Practical Leadership Skills","Udemy","https://www.udemy.com/course/leadership-practical-leadership-skills/","Master leadership skills and leadership techniques with this highly practical advice and training."
"Entrepreneurship","The Complete Business Plan Course (Includes 50 Templates)","Udemy","https://www.udemy.com/course/the-complete-business-plan-course-includes-50-templates/","Everything You Need to Know to Create a Professional Business Plan."
"Personal Finance","Personal Finance Masterclass: Your Guide to Financial Freedom","Udemy","https://www.udemy.com/course/personal-finance-masterclass/","Master Your Money, Investing, and Financial Goals."
"Stock Trading","Stock Trading & Investing for Beginners: 4-in-1 Course","Udemy","https://www.udemy.com/course/stock-trading-investing-for-beginners/","Learn Day Trading, Swing Trading, and Long-Term Investing Strategies."
"Copywriting","The Complete Copywriting Course: Write to Sell in 2023","Udemy","https://www.udemy.com/course/the-complete-copywriting-course/","Become a Copywriter and Write Sales-Generating copy."
"AI","Artificial Intelligence A-Z™: Learn How To Build An AI","Udemy","https://www.udemy.com/course/artificial-intelligence-az/","Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications."
"React.js","React, NodeJS, Express & MongoDB - The MERN Fullstack Guide","Udemy","https://www.udemy.com/course/react-nodejs-express-mongodb-the-mern-fullstack-guide/","Build fullstack React.js applications with Node.js, Express.js & MongoDB (MERN) with this project-based course."
"Vite","Vite.js - The Complete Guide (w/ React, Vue, Svelte)","Udemy","https://www.udemy.com/course/vite-js-the-complete-guide/","Learn how to build ultra-fast web applications with Vite.js - the next-generation frontend build tool."
"Cloud Computing","Google Cloud Fundamentals: Core Infrastructure","Coursera","https://www.coursera.org/learn/gcp-fundamentals","Learn the fundamentals of Google Cloud with practical hands-on labs and use cases."
"Cybersecurity","Introduction to Cyber Security Specialization","Coursera","https://www.coursera.org/specializations/intro-cyber-security","Learn the basics of cybersecurity, including cryptography, risk management, and network defense."
"DevOps","DevOps on AWS Specialization","Coursera","https://www.coursera.org/specializations/aws-devops","Learn to automate, monitor, and optimize AWS-based DevOps pipelines and processes."
"HTML & CSS","HTML, CSS, and Javascript for Web Developers","Coursera","https://www.coursera.org/learn/html-css-javascript-for-web-developers","Learn web design from the ground up and build interactive websites using modern technologies."
"Data Analytics","Google Data Analytics Professional Certificate","Coursera","https://www.coursera.org/professional-certificates/google-data-analytics","Learn data analysis with spreadsheets, SQL, and Tableau through hands-on projects."
"Business Analytics","Excel Skills for Business Specialization","Coursera","https://www.coursera.org/specializations/excel","Learn Excel fundamentals and advanced techniques for business and data analysis."
"Deep Learning","Deep Learning Specialization","Coursera","https://www.coursera.org/specializations/deep-learning","Master deep learning with TensorFlow and neural networks taught by Andrew Ng."
"Blockchain","Blockchain Basics","Coursera","https://www.coursera.org/learn/blockchain-basics","Understand how blockchain technology works and its potential applications across industries."
"Data Visualization","Data Visualization with Python","Coursera","https://www.coursera.org/learn/python-for-data-visualization","Learn how to use Python libraries like Matplotlib, Seaborn, and Folium to visualize data."
"Git & GitHub","Git Essential Training","LinkedIn Learning","https://www.linkedin.com/learning/git-essential-training","Master version control using Git commands and GitHub workflows."
"Prompt Engineering","ChatGPT Prompt Engineering for Developers","DeepLearning.AI","https://learn.deeplearning.ai/chatgpt-prompt-eng/","Learn how to write effective prompts for ChatGPT and integrate it into your applications."
"TensorFlow","TensorFlow Developer Professional Certificate","Coursera","https://www.coursera.org/professional-certificates/tensorflow-in-practice","Learn TensorFlow fundamentals, model training, and deployment for AI and ML."
"Communication Skills","Effective Communication Skills","Udemy","https://www.udemy.com/course/effective-communication-skills/","Master verbal and non-verbal communication to improve personal and professional relationships."
"Time Management","Time Management Mastery: Do More, Stress Less","Udemy","https://www.udemy.com/course/time-management-mastery/","Learn proven time management techniques to boost productivity and reduce stress."
"Emotional Intelligence","Emotional Intelligence: Master Your Emotions","Udemy","https://www.udemy.com/course/emotional-intelligence-master-your-emotions/","Develop self-awareness, empathy, and relationship management skills."
"Negotiation","Successful Negotiation: Essential Strategies and Skills","Coursera","https://www.coursera.org/learn/negotiation-skills","Learn negotiation techniques from University of Michigan to achieve win-win outcomes."
"Critical Thinking","Critical Thinking Skills for University Success","Coursera","https://www.coursera.org/learn/critical-thinking-skills","Develop analytical and problem-solving skills essential for academic and professional success."
"Conflict Resolution","Conflict Management Specialization","Coursera","https://www.coursera.org/specializations/conflict-management","Learn to manage and resolve conflicts effectively in workplace and personal settings."
"Mindfulness","The Science of Well-Being","Coursera","https://www.coursera.org/learn/the-science-of-well-being","Yale's most popular course teaching science-based strategies for happiness and well-being."
"Speed Reading","Become a SuperLearner: Learn Speed Reading & Memory","Udemy","https://www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/","Learn advanced memory techniques and speed reading to boost learning capacity."
"Productivity","Productivity Masterclass - Principles and Tools","Udemy","https://www.udemy.com/course/productivity-masterclass-principles-and-tools/","Master productivity principles and tools to achieve more in less time."
"Body Language","Body Language for Entrepreneurs","Udemy","https://www.udemy.com/course/body-language-for-entrepreneurs/","Master non-verbal communication and read body language signals effectively."
"Networking","Business Networking: Build Powerful Professional Relationships","Udemy","https://www.udemy.com/course/business-networking-build-powerful-professional-relationships/","Learn to build and maintain valuable professional networks."
"Presentation Skills","Presentation Skills: Speechwriting and Storytelling","Coursera","https://www.coursera.org/learn/presentation-skills","Craft compelling presentations using storytelling techniques and persuasive delivery."
"Interview Skills","Job Interview Skills Training Course","Udemy","https://www.udemy.com/course/job-interview-skills-training-course/","Master interview techniques and land your dream job with confidence."
"Resume Writing","Resume and Cover Letter Writing","LinkedIn Learning","https://www.linkedin.com/learning/resume-and-cover-letter-writing","Create compelling resumes and cover letters that get noticed by recruiters."
"Sales Skills","The Complete Sales Skills Masterclass","Udemy","https://www.udemy.com/course/the-complete-sales-skills-masterclass-for-sales-professionals/","Learn proven sales techniques from prospecting to closing deals."
"Customer Service","Customer Service Training Course","Udemy","https://www.udemy.com/course/customer-service-training-course/","Deliver exceptional customer service and build lasting customer relationships."
"Stress Management","Stress Management: 40+ Easy Ways to Deal with Stress","Udemy","https://www.udemy.com/course/stress-management-techniques/","Learn practical techniques to manage and reduce stress in daily life."
"Goal Setting","Goal Setting Mastery - Achieve Your Dreams","Udemy","https://www.udemy.com/course/goal-setting-mastery/","Set and achieve meaningful goals using proven frameworks and strategies."
"Decision Making","Making Successful Decisions through the Strategy, Law & Ethics Model","Coursera","https://www.coursera.org/learn/making-successful-decisions","Improve decision-making skills using strategic, legal, and ethical frameworks."
"Learning How to Learn","Learning How to Learn: Powerful Mental Tools","Coursera","https://www.coursera.org/learn/learning-how-to-learn","Master effective learning techniques based on neuroscience and cognitive psychology."
"Memory Techniques","Memory and the Human Lifespan","The Great Courses Plus","https://www.thegreatcoursesplus.com/memory-and-the-human-lifespan","Understand how memory works and learn techniques to improve retention."
"Personal Branding","Personal Branding Masterclass: The Systematic Approach","Udemy","https://www.udemy.com/course/personal-branding-masterclass/","Build a powerful personal brand to advance your career and business."
"Career Development","Career Development: Four Ways to Take Charge of Your Career","Coursera","https://www.coursera.org/learn/career-development","Take control of your career path with strategic planning and development."
"Adaptability","Adaptability and Flexibility Skills","LinkedIn Learning","https://www.linkedin.com/learning/adaptability-and-flexibility","Develop flexibility and adaptability to thrive in changing environments."
"Problem Solving","Creative Problem Solving","Coursera","https://www.coursera.org/learn/creative-problem-solving","Learn creative approaches to solving complex problems systematically."
"Team Building","Building High-Performance Teams","Coursera","https://www.coursera.org/learn/building-high-performance-teams","Learn to build, lead, and manage effective high-performing teams."
"PowerPoint","PowerPoint: Designing Better Slides","LinkedIn Learning","https://www.linkedin.com/learning/powerpoint-designing-better-slides","Create visually stunning and impactful PowerPoint presentations."
"Voice Training","Voice Training for Professionals","Udemy","https://www.udemy.com/course/voice-training-for-professionals/","Develop a powerful, clear, and confident speaking voice."
"Reading Comprehension","Reading Comprehension Strategies","Skillshare","https://www.skillshare.com/browse/reading-comprehension","Improve reading speed and comprehension for academic and professional success."
